"StationID_Master"	"clust"	"StressSampDate"	"RespSampDate"	"StressSampID"	"BioComm"	"RespSampID"	"Quality"	"MMIhybrid"	"RespSampFlag"	"HighDur_Dry"	"HighDur_Wet"	"HighNum_Dry"	"MaxMonthQ_Dry"	"MaxMonthQ_Wet"	"NoDisturb_Average"	"NoDisturb_Dry"	"Q99_Average"	"Qmax_Dry"	"QmaxIDR_All"	"RBI_Dry"	"AFDM_algae_particulate_g_m2"	"Alkalinity_CaCO3_f_mg_L"	"Alkalinity_CaCO3_fld_mg_L"	"Alkalinity_CaCO3_uf_mg_L"	"Aluminum_f_ug_L"	"Aluminum_tot_mg_kg_dw"	"Aluminum_uf_ug_L"	"ANC_ueq_L"	"Arsenic_f_ug_L"	"Arsenic_tot_mg_kg_dw"	"Arsenic_uf_ug_L"	"Bifenthrin_tot_ng_g_dw"	"Bifenthrin_ug_L"	"Cadmium_f_ug_L"	"Cadmium_tot_mg_kg_dw"	"Cadmium_uf_ug_L"	"Calcium_f_mg_L"	"Calcium_uf_mg_L"	"Chlor_a_particulate_mg_m2"	"Chloride_f_mg_L"	"Chromium_f_ug_L"	"Chromium_tot_mg_kg_dw"	"Chromium_ug_L"	"Clay_LT0_0039mm_pct"	"Copper_f_ug_L"	"Copper_tot_mg_kg_dw"	"Copper_uf_ug_L"	"Cyfluthrin_tot_ng_g_dw"	"Cyfluthrin_Total_ug_L"	"Cyhalothrin_lambda_tot_ng_g_dw"	"Cyhalothrin_Total_lambda_ug_L"	"Cypermethrin_tot_ng_g_dw"	"Cypermethrin_Total_ug_L"	"Dacthal_ug_L"	"DDD_p_pprime_ug_L"	"DDE_p_pprime_ug_L"	"Deltamethrin_Tralomethrin_ug_L"	"Deltamethrin_ug_L"	"DeltamethrinTralomethrine_tot_ng_g_dw"	"DO_fld_mg_L"	"DOC_f_mg_L"	"Esfenvalerate_Fenvalerate_Total_ug_L"	"EsfenvalerateFenvalerate_tot_ng_g_dw"	"Ev_FlowHab_score"	"Fenpropathrin_tot_ng_g_dw"	"Fenpropathrin_ug_L"	"H_AqHab_score"	"H_SubNat_score"	"Hardness_CaCO3_f_mg_L"	"Hardness_CaCO3_uf_mg_L"	"IPI"	"Iron_f_ug_L"	"Iron_uf_ug_L"	"Lead_f_ug_L"	"Lead_tot_mg_kg_dw"	"Lead_uf_ug_L"	"Magnesium_f_mg_L"	"Magnesium_uf_mg_L"	"Manganese_f_ug_L"	"Manganese_tot_mg_kg_dw"	"Manganese_uf_ug_L"	"NH3_N_f_mg_L"	"NH3_N_uf_mg_L"	"Nickel_f_ug_L"	"Nickel_tot_mg_kg_dw"	"Nickel_uf_ug_L"	"NO2_N_f_mg_L"	"NO2_N_mg_L"	"NO3_N_f_mg_L"	"NO3_N_mg_L"	"NO3_N_uf_mg_L"	"NO3NO2_N_f_mg_L"	"NO3NO2_N_mg_L"	"NO3NO2_N_uf_mg_L"	"P_uf_mg_L"	"PCB066_ug_L"	"PCT_SAFN_score"	"Permethrin_cis_ng_g_dw"	"Permethrin_cis_ug_L"	"Permethrin_trans_ng_g_dw"	"Permethrin_trans_ug_L"	"pH_fld_SU"	"pH_SU"	"PO4_P_f_mg_L"	"Potassium_f_mg_L"	"Potassium_uf_mg_L"	"Salinity_fld_ppt"	"Sand_0_0625_LT2mm_pct"	"Selenium_f_ug_L"	"Selenium_ug_L"	"Silica_SiO2_f_mg_L"	"Silica_SiO2_uf_mg_L"	"Silt_0_0039_LT0_0625mm_pct"	"Silver_f_ug_L"	"Silver_tot_mg_kg_dw"	"Silver_uf_ug_L"	"Sodium_f_mg_L"	"Sodium_uf_mg_L"	"SpecificConductivity_fld_uS_cm"	"SpecificConductivity_uS_cm"	"Sulfate_f_mg_L"	"SuspendedSediment_particulate_mg_L"	"TDS_f_mg_L"	"TKN_uf_mg_L"	"TN_uf_mg_L"	"TOC_pct_dw"	"TOC_uf_mg_L"	"TotalMicrocystins_particulate_ug_m2"	"TSS_particulate_mg_L"	"Turbidity_fld_NTU"	"Turbidity_NTU"	"Velocity_fld_ft_s"	"WaterTemp_fld_degC"	"XCMG_score"	"Zinc_f_ug_L"	"Zinc_tot_mg_kg_dw"	"Zinc_uf_ug_L"
"402BA0031"	2	2008-05-28	2008-05-28	"402BA0031_2008-05-28"	"alg"	"402BA0031_5/28/2008_1"	"Good"	1.126283956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89	166	NA	NA	4.19	NA	6.23	NA	0.63	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	0.14	NA	0.4	NA	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	0.61	0.64	361	NA	0.86	1.61	10.4	NA	NA	NA	NA	NA	1.05	NA	1.6	0.0173	NA	3.99	NA	4.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.015	NA	NA	NA	NA	1.41	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	264	2.713	597	0.089	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	1.07	NA	1.2
"402BA0079"	2	2008-05-28	2008-05-28	"402BA0079_2008-05-28"	"alg"	"402BA0079_5/28/2008_1"	"Degraded"	0.74587652	NA	1	2.5	1.5	0.009866444	0.026527709	87	98	0.446091053	3.187731612	0.26837339	0.040255074	4.47	185	NA	NA	4.82	NA	6.11	NA	1.13	NA	1.14	NA	NA	0.04	NA	0.05	NA	NA	6.57	NA	0.21	NA	0.21	NA	1.06	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	0.79	0.73	446	NA	1.08	2.56	10.5	NA	NA	NA	NA	NA	3.55	NA	5.19	0.0321	NA	5.82	NA	5.78	0.0128	NA	1.12	NA	NA	NA	NA	NA	0.0165	NA	0.97	NA	NA	NA	NA	NA	NA	0.0263	NA	NA	NA	NA	3.56	3.4	NA	NA	NA	NA	NA	0.06	NA	NA	NA	NA	292	6.641	764	0.408	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.58	NA	3.17
"402BA0095"	2	2008-05-29	2008-05-29	"402BA0095_2008-05-29"	"alg"	"402BA0095_5/29/2008_1"	"Good"	0.997702033	NA	0	0	0	7.39e-05	0.000290986	0	0	0.000237549	8.34e-05	0.000317946	0.000961197	2.02	203	NA	NA	11.1	NA	37.5	NA	0.32	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	NA	0.2	NA	0.31	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94	NA	NA	0.83	0.98	325	NA	1.22	1.29	22.15	NA	NA	NA	NA	NA	0.97	NA	2.2	0.0113	NA	3.68	NA	3.76	NA	NA	NA	NA	NA	NA	NA	NA	0.0062	NA	0.83	NA	NA	NA	NA	NA	NA	0.0243	NA	NA	NA	NA	0.88	0.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170	2.823	477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.78	NA	0.9
"402BA0143"	5	2008-05-21	2008-05-21	"402BA0143_2008-05-21"	"alg"	"402BA0143_5/21/2008_1"	"Good"	0.971658305	NA	2	2	1	0.010799507	0.016734901	30.5	25	0.02240528	0.106949121	1.12775304	0.005298506	NA	213	NA	NA	NA	NA	3.18	NA	0.68	NA	0.73	NA	NA	0.05	NA	0.06	NA	NA	16	NA	0.22	NA	0.19	NA	0.62	NA	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.66	0.7	409	NA	0.8	31.1	45	NA	NA	NA	NA	NA	14.3	NA	14.4	0.0161	NA	5.8	NA	5.27	0.00295	NA	0.164	NA	NA	NA	NA	NA	0.0155	NA	1	NA	NA	NA	NA	NA	NA	0.01965	NA	NA	NA	NA	2.04	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	217	2.713	600	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	1.22	NA	1.14
"402BA0335"	5	2008-05-27	2008-05-27	"402BA0335_2008-05-27"	"alg"	"402BA0335_5/27/2008_1"	"Degraded"	0.765824155	NA	6	0.5	2	0.016929841	0.002135716	2.5	22.5	0.001923561	0.008260737	1.3346122	0.019603577	4.475	209.5	NA	NA	NA	NA	6.265	NA	0.555	NA	0.53	NA	NA	0.045	NA	0.055	NA	NA	10.785	NA	0.255	NA	0.29	NA	0.605	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA	0.74	0.75	410.5	NA	1.2	3.465	11.25	NA	NA	NA	NA	NA	1.79	NA	2.335	0.01985	NA	5.63	NA	5.925	NA	0.004666667	0.7615	NA	NA	NA	NA	NA	0.012866667	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	3.13	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	252	3.5155	646	0.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.205	NA	1.245
"402BA0335"	5	2008-05-27	2008-05-27	"402BA0335_2008-05-27"	"alg"	"402BA0335_5/27/2008_2"	"Degraded"	0.721247589	NA	6	0.5	2	0.016929841	0.002135716	2.5	22.5	0.001923561	0.008260737	1.3346122	0.019603577	4.475	209.5	NA	NA	NA	NA	6.265	NA	0.555	NA	0.53	NA	NA	0.045	NA	0.055	NA	NA	10.785	NA	0.255	NA	0.29	NA	0.605	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA	0.74	0.75	410.5	NA	1.2	3.465	11.25	NA	NA	NA	NA	NA	1.79	NA	2.335	0.01985	NA	5.63	NA	5.925	NA	0.004666667	0.7615	NA	NA	NA	NA	NA	0.012866667	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	3.13	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	252	3.5155	646	0.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.205	NA	1.245
"402M00002"	5	2015-08-13	2015-08-13	"402M00002_2015-08-13"	"alg"	"402M00002_8/13/2015_1"	"Good"	1.008627878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	NA	NA	NA	0.77	NA	NA	1	0.96	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	7.62	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5009	20.5	0.68	NA	NA	NA
"402M00005"	2	2015-06-11	2015-06-11	"402M00005_2015-06-11"	"alg"	"402M00005_6/11/2015_1"	"Good"	1.138701585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.46	NA	NA	NA	0.78	NA	NA	0.73	0.97	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	7.54	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.307	15.9	0.64	NA	NA	NA
"402M00009"	2	2015-06-29	2015-06-29	"402M00009_2015-06-29"	"alg"	"402M00009_6/29/2015_1"	"Good"	1.243805929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.95	NA	NA	NA	0.15	NA	NA	0.78	1	NA	NA	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	7.63	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.06	0.82	NA	NA	NA
"402MTCUNF"	2	2012-06-05	2012-06-05	"402MTCUNF_2012-06-05"	"alg"	"402MTCUNF_6/5/2012_1"	"Good"	1.047104758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.2	3.065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735	NA	NA	0.75	NA	NA	0.57	1	NA	442.5	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0034	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	0.0168	NA	0.8	NA	NA	NA	NA	NA	NA	0.0216	NA	NA	NA	NA	NA	NA	16.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	292	NA	NA	NA	0.104	NA	NA	NA	0.4	NA	NA	NA	NA	0.69	NA	NA	NA
